trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 0.85}",20,2,-49.38068910949964,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.85, 'e': 0.7224999999999999}",20,0,-37.5854640213337,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.85, 'e': 0.6141249999999999}",25,0,-120.96250500031093,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",1
4,False,"{'a': 0.85, 'e': 0.5220062499999999}",20,0,-29.722420675626037,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.85, 'e': 0.4437053124999999}",20,0,-32.35861224380907,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.85, 'e': 0.3771495156249999}",20,0,-89.512768232074,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.85, 'e': 0.32057708828124987}",25,0,-115.80783800162743,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.85, 'e': 0.2724905250390624}",20,0,-103.8721834082215,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.85, 'e': 0.23161694628320303}",20,1,-5.125949713332853,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.85, 'e': 0.19687440434072256}",20,0,-50.206243757070524,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.85, 'e': 0.16734324368961417}",25,0,16.338160357503277,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.85, 'e': 0.14224175713617204}",25,0,27.75481540028996,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.85, 'e': 0.12090549356574623}",25,8,26.00109487499449,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.85, 'e': 0.10276966953088429}",20,0,29.763513205217517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.85, 'e': 0.08735421910125164}",20,1,-8.904142186878703,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.85, 'e': 0.0742510862360639}",20,1,11.643586368223747,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.85, 'e': 0.06311342330065431}",20,0,-23.311353081074916,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
