trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-21.895887855139314,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.05370520103857,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.27105032681908,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.5144261741986,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.51142349720055,"{0: 13, 1: 5, 2: 2, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-195.6110149706345,"{0: 18, 1: 7, 2: 4, 3: 5, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.41636722084328,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.81787749411828,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.6991716025214,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.73853329935508,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.35338359664044,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-223.5430044598346,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-250.94869888075516,"{0: 13, 1: 5, 2: 8, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.36113822791754,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.5628131693293,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,12,-74.43330210630745,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.00131229233051,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.08941041131447,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.73053497682224,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.24416355027485,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.19333018395061,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.91233570346503,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.62880327494487,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.47834221584615,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.69570246144147,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-191.04213455166862,"{0: 19, 1: 7, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.34944979553336,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.470452250152086,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.68731852202671,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.25889795409084,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
